rank,system_id,city,country,region,system,mode,annual_riders,year,measure_def,has_series,best_ts_granularity,ts_tier,confidence,annual_url
128,sendai,Sendai,Japan,Asia,Sendai Subway,metro,93233000,2024,station_entries,annual,annual,national_db,medium,https://www.jametro.or.jp/upload/data/txYrAazWqkWT.pdf
129,valencia,Valencia,Spain,Europe,Metrovalencia,metro,91100000,2024,passenger_journeys,annual,annual,community/aggregator,medium,https://en.wikipedia.org/wiki/Metrovalencia
130,philadelphia,Philadelphia,United States,North America,SEPTA Metro,metro+lrt,90242900,2025,unlinked_trips,monthly,monthly,national_db,high,https://en.wikipedia.org/wiki/SEPTA_Metro
131,the-hague,The Hague,Netherlands,Europe,HTM tram / RandstadRail,tram,83967000,2018,passenger_journeys,annual,annual,official,low,https://en.wikipedia.org/wiki/Trams_in_The_Hague
132,wuxi,Wuxi,China,Asia,Wuxi Metro,metro,81468000,2016,station_entries,annual,annual,community/aggregator,low,https://zh.m.wikipedia.org/wiki/无锡地铁
133,porto,Porto,Portugal,Europe,Metro do Porto,lrt,79000000,2023,passenger_journeys,annual,annual,national_db,high,https://en.wikipedia.org/wiki/Porto_Metro
134,manila,Manila,Philippines,Asia,"LRT-1, LRT-2, MRT-3",metro,78000000,2022,passenger_journeys,annual,daily,community/aggregator,low,https://en.wikipedia.org/wiki/Manila_Light_Rail_Transit_System_Line_1
135,marseille,Marseille,France,Europe,Métro de Marseille (+ tram),metro,76800000,2024,passenger_journeys,annual,annual,official,high,https://www.rtm.fr/sites/default/files/docs/009%20RTM_RA2024%204.pdf
136,nantes,Nantes,France,Europe,Tramway de Nantes,tram,74600000,2025,passenger_journeys,annual,annual,official,medium,https://www.semitan.fr/fr/histoire-et-chiffres-cles
137,karlsruhe,Karlsruhe,Germany,Europe,Stadtbahn Karlsruhe (tram-train),tram,71910000,2024,passenger_journeys,annual,annual,official,medium,https://www.vbk.info/fileadmin/user_upload/vbk/Dateien/VBK_Geschaeftsbericht_2024_A4_screen.pdf
138,kaohsiung,Kaohsiung,Taiwan,Asia,Kaohsiung MRT (+ Circular LRT),metro,71300000,2025,station_entries,annual,monthly,official,high,https://corp.krtc.com.tw/
139,los-angeles,Los Angeles,United States,North America,Metro Rail,metro+lrt,68764300,2025,unlinked_trips,monthly,monthly,national_db,medium,https://www.apta.com/wp-content/uploads/2026/03/2025-Q4-Ridership-APTA.pdf
140,amsterdam,Amsterdam,Netherlands,Europe,GVB Metro + Tram,metro+tram,66200000,2015,passenger_journeys,annual,annual,official,low,https://en.wikipedia.org/wiki/Amsterdam_Metro
141,lahore,Lahore,Pakistan,Asia,Lahore Metro Orange Line,metro,65230610,2023,estimated,annual,daily,community/aggregator,low,https://www.dawn.com/news/1768572
142,quito,Quito,Ecuador,South America,Metro de Quito,metro,63008757,2025,passenger_journeys,annual,monthly,official,medium,https://metrodequito.gob.ec/wp-content/uploads/2026/02/26-02-23-Boletin-Estadistico-02-2026.pdf
143,xiamen,Xiamen,China,Asia,Xiamen Metro,metro,58030000,2019,station_entries,annual,annual,community/aggregator,low,https://zh.m.wikipedia.org/wiki/厦门轨道交通
144,san-francisco-bart,San Francisco Bay Area,United States,North America,BART,metro,55610841,2025,unlinked_trips,monthly,hourly,official,high,https://www.bart.gov/about/reports/ridership
145,dublin,Dublin,Ireland,Europe,Luas,tram,54000000,2024,passenger_journeys,annual,annual,official,high,https://www.nationaltransport.ie/news/record-breaking-passenger-numbers-on-pso-services-for-second-year/
146,ahmedabad,Ahmedabad,India,Asia,Ahmedabad Metro,metro,51029000,2025-26,passenger_journeys,annual,annual,community/aggregator,medium,https://en.wikipedia.org/wiki/Ahmedabad_Metro
147,lausanne,Lausanne,Switzerland,Europe,Métro de Lausanne (M1/M2),metro,50000000,2023,passenger_journeys,annual,annual,community/aggregator,medium,https://fr.wikipedia.org/wiki/M%C3%A9tro_de_Lausanne
148,manchester,Manchester,United Kingdom,Europe,Metrolink,lrt,46000000,2025,passenger_journeys,annual,annual,national_db,high,https://en.wikipedia.org/wiki/Manchester_Metrolink
149,algiers,Algiers,Algeria,Africa,Algiers Metro (+ tram),metro,46000000,2023,passenger_journeys,annual,annual,community/aggregator,medium,http://www.metroalger-dz.com/fr/statistiques.php
150,rennes,Rennes,France,Europe,Métro de Rennes,metro,42020000,2022,passenger_journeys,annual,annual,official,medium,https://en.wikipedia.org/wiki/Rennes_Metro
151,brasilia,Brasília,Brazil,South America,Metrô-DF,metro,41550000,2025,passenger_journeys,annual,annual,national_db,high,https://www.metrocptm.com.br/metro-do-df-perde-passageiros-pelo-segundo-ano-seguido-e-acende-alerta-no-setor/
152,jakarta,Jakarta,Indonesia,Asia,"Jakarta MRT (+ LRT, KRL Commuterline)",metro,40821000,2024,passenger_journeys,annual,annual,community/aggregator,medium,https://en.wikipedia.org/wiki/Jakarta_MRT
153,naples,Naples,Italy,Europe,Metropolitana di Napoli,metro,38259075,2024,passenger_journeys,annual,annual,official,high,https://www.anm.it/resource/1768990802000/cartadellamobilita25
154,san-diego,San Diego,United States,North America,San Diego Trolley,lrt,38047300,2025,unlinked_trips,monthly,monthly,national_db,high,https://en.wikipedia.org/wiki/San_Diego_Trolley
155,seattle,Seattle,United States,North America,Link light rail,lrt,37800000,2025,unlinked_trips,monthly,monthly,national_db,high,https://en.wikipedia.org/wiki/Link_light_rail
156,turin,Turin,Italy,Europe,Metropolitana di Torino,metro,36500000,2023,passenger_journeys,annual,annual,community/aggregator,medium,https://it.wikipedia.org/wiki/Metropolitana_di_Torino
157,tel-aviv,Tel Aviv,Israel,Middle East & Central Asia,Dankal Light Rail (Red Line),lrt,36500000,2024,passenger_journeys,annual,daily,community/aggregator,low,https://en.globes.co.il/en/article-passengers-shun-tel-aviv-light-rail-1001486834
158,san-francisco-muni,San Francisco,United States,North America,Muni Metro,lrt,34229500,2025,unlinked_trips,monthly,monthly,national_db,high,https://en.wikipedia.org/wiki/Muni_Metro
159,newcastle,Newcastle / Tyne and Wear,United Kingdom,Europe,Tyne and Wear Metro,metro,32200000,2025,passenger_journeys,annual,annual,national_db,high,https://en.wikipedia.org/wiki/Tyne_and_Wear_Metro
160,rabat,Rabat,Morocco,Africa,Rabat-Salé Tramway,tram,32000000,2015,passenger_journeys,annual,daily,community/aggregator,low,https://fr.wikipedia.org/wiki/Tramway_de_Rabat-Sal%C3%A9
161,casablanca,Casablanca,Morocco,Africa,Casablanca Tramway (+ Busway),tram,31400000,2018,estimated,annual,daily,community/aggregator,low,https://www.leconomiste.com/article/1021456-casa-tram-157-millions-de-passagers-en-5-ans
162,atlanta,Atlanta,United States,North America,MARTA Rail,metro,30373600,2025,unlinked_trips,monthly,monthly,national_db,high,https://en.wikipedia.org/wiki/MARTA_rail
163,thessaloniki,Thessaloniki,Greece,Europe,Thessaloniki Metro,metro,30000000,2025,passenger_journeys,annual,annual,community/aggregator,low,https://www.emakedonia.gr/metro-thessalonikis-tameio-me-30-ekatommyria-epivates-kai-kathara-kerdi-sto-proto-plires-etos-leitoyrgias-814388
164,miami,Miami,United States,North America,Metrorail (+ Metromover),metro,22217800,2025,unlinked_trips,monthly,monthly,national_db,medium,https://en.wikipedia.org/wiki/Metrorail_(Miami-Dade_County)
165,portland,Portland,United States,North America,MAX Light Rail,lrt,22100000,2025,unlinked_trips,monthly,monthly,national_db,high,https://en.wikipedia.org/wiki/MAX_Light_Rail
166,dallas,Dallas,United States,North America,DART Rail,lrt,21611600,2025,unlinked_trips,monthly,monthly,national_db,high,https://en.wikipedia.org/wiki/DART_rail
167,ottawa,Ottawa,Canada,North America,O-Train,lrt,20838300,2024,linked_journeys,annual,monthly,official,medium,https://en.wikipedia.org/wiki/O-Train
168,ho-chi-minh-city,Ho Chi Minh City,Vietnam,Asia,HCMC Metro Line 1,metro,20463587,2025,passenger_journeys,annual,annual,community/aggregator,high,https://cafef.vn/metro-so-1-tphcm-don-hon-20-trieu-luot-khach-ngan-sach-tro-gia-278-ty-vuot-xa-tien-ban-ve-188260521230557608.chn
169,addis-ababa,Addis Ababa,Ethiopia,Africa,Addis Ababa Light Rail,lrt,20440000,2023,estimated,annual,daily,community/aggregator,low,https://en.wikipedia.org/wiki/Addis_Ababa_Light_Rail
170,porto-alegre,Porto Alegre,Brazil,South America,Trensurb,metro,20134159,2024,passenger_journeys,annual,annual,national_db,high,https://anptrilhos.org.br/em-ano-mais-desafiador-de-sua-historia-trensurb-transportou-2013-milhoes-de-passageiros/
171,hanoi,Hanoi,Vietnam,Asia,Hanoi Metro,metro,20000000,2025,passenger_journeys,annual,annual,community/aggregator,medium,https://vtv.vn/metro-ha-noi-can-moc-hon-20-trieu-luot-hanh-khach-trong-nam-2025-100260109110618498.htm
172,shiraz,Shiraz,Iran,Middle East & Central Asia,Shiraz Metro,metro,18000000,2018,station_entries,annual,annual,community/aggregator,low,https://en.wikipedia.org/wiki/Shiraz_Metro
173,minneapolis,Minneapolis–St. Paul,United States,North America,METRO light rail (Blue & Green lines),lrt,15500000,2024,unlinked_trips,monthly,monthly,national_db,medium,https://www.metrotransit.org/annual-ridership-grows-to-475-million-rides-in-2024
174,salt-lake-city,Salt Lake City,United States,North America,TRAX,lrt,13279100,2025,unlinked_trips,monthly,monthly,national_db,high,https://en.wikipedia.org/wiki/TRAX_(light_rail)
175,glasgow,Glasgow,United Kingdom,Europe,Glasgow Subway,metro,13000000,2025,passenger_journeys,annual,annual,national_db,medium,https://en.wikipedia.org/wiki/Glasgow_Subway
176,houston,Houston,United States,North America,METRORail,lrt,12651100,2025,unlinked_trips,monthly,monthly,national_db,high,https://en.wikipedia.org/wiki/METRORail
177,phoenix,Phoenix,United States,North America,Valley Metro Rail,lrt,11100300,2025,unlinked_trips,monthly,monthly,national_db,high,https://en.wikipedia.org/wiki/Valley_Metro_Rail
178,denver,Denver,United States,North America,RTD Rail,lrt,10568000,2025,unlinked_trips,monthly,monthly,national_db,high,https://en.wikipedia.org/wiki/Regional_Transportation_District
179,baltimore,Baltimore,United States,North America,Metro SubwayLink & Light RailLink,metro+lrt,9625500,2025,unlinked_trips,monthly,monthly,national_db,medium,https://en.wikipedia.org/wiki/Baltimore_Metro_SubwayLink
180,pune,Pune,India,Asia,Pune Metro,metro,9302891,2023,passenger_journeys,annual,annual,community/aggregator,medium,https://en.wikipedia.org/wiki/Pune_Metro
181,st-louis,St. Louis,United States,North America,MetroLink,lrt,7665000,2025,unlinked_trips,monthly,monthly,national_db,high,https://en.wikipedia.org/wiki/MetroLink_(St._Louis)
182,sacramento,Sacramento,United States,North America,SacRT Light Rail,lrt,7410000,2025,unlinked_trips,monthly,monthly,national_db,high,https://en.wikipedia.org/wiki/SacRT_light_rail
183,charlotte,Charlotte,United States,North America,LYNX,lrt,5956914,2025,unlinked_trips,monthly,monthly,national_db,high,https://data.transportation.gov/Public-Transit/Complete-Monthly-Ridership-with-Adjustments-and-Es/8bui-9xvu
184,san-jose,San Jose,United States,North America,VTA Light Rail,lrt,4469300,2025,unlinked_trips,monthly,monthly,national_db,high,https://en.wikipedia.org/wiki/VTA_light_rail
185,lagos,Lagos,Nigeria,Africa,Lagos Rail Mass Transit (Blue & Red lines),metro,3000000,2025,estimated,annual,annual,community/aggregator,low,https://en.wikipedia.org/wiki/Blue_Line_(Lagos)
186,edmonton,Edmonton,Canada,North America,Edmonton LRT,lrt,,,,,annual,official,low,
187,antwerp,Antwerp,Belgium,Europe,Antwerp tram / premetro,tram,,,,,annual,official,low,
188,krakow,Kraków,Poland,Europe,Kraków tram network,tram,,,,,,official,low,
189,mashhad,Mashhad,Iran,Middle East & Central Asia,Mashhad Urban Railway,metro,,,,,,official,low,
190,doha,Doha,Qatar,Middle East & Central Asia,Doha Metro (+ Lusail Tram),metro,,,,,,official,low,
191,riyadh,Riyadh,Saudi Arabia,Middle East & Central Asia,Riyadh Metro,metro,,,,,,,low,
192,dhaka,Dhaka,Bangladesh,Asia,Dhaka Metro Rail,metro,,,,,,official,low,
193,nanning,Nanning,China,Asia,Nanning Metro,metro,,,,,,community/aggregator,low,
194,shijiazhuang,Shijiazhuang,China,Asia,Shijiazhuang Metro,metro,,,,,,community/aggregator,low,
195,hyderabad,Hyderabad,India,Asia,Hyderabad Metro,metro,,,,,,community/aggregator,low,
196,kochi,Kochi,India,Asia,Kochi Metro,metro,,,,,,community/aggregator,low,
197,nagpur,Nagpur,India,Asia,Nagpur Metro,metro,,,,,,community/aggregator,low,
198,fukuoka,Fukuoka,Japan,Asia,Fukuoka City Subway,metro,,,,,annual,official,low,
199,daegu,Daegu,South Korea,Asia,Daegu Metro,metro,,,,,annual,official,low,
200,incheon,Incheon,South Korea,Asia,Incheon Subway,metro,,,,,annual,official,low,
201,taoyuan,Taoyuan,Taiwan,Asia,Taoyuan Metro (Airport MRT),metro,,,,,monthly,official,low,
